Nombre,Precio,kilometraje,Transmisión,Combustible
2014 Great Wall Voleex C20r 1.5 VVT LE,6900000,1 km,Manual,Bencina
2014 Suzuki Swift 1.4 GLX,8000000,120.000 km,Manual,Bencina
2012 Mercedes-Benz E 500 5.5 E 500 Elegance,17980000,107.400 km,Automática,Bencina
2013 Kia Rio 5 1.4 EX Manual AB AC,7600000,136.227 km,Manual,Bencina
2014 Subaru Xv,10600000,113.000 km,Automática,Bencina
2003 Mitsubishi Evo,22500000,150.000 km,Manual,Bencina
2018 Nissan Np300,20900000,65.954 km,Manual,Bencina
2017 Volkswagen Golf 1.4 TSI Manual Design,15500000,35.000 km,Manual,Bencina
2015 Suzuki Grand Vitara,12800000,43.000 km,Automática,Bencina
2001 Hyundai Accent Prime Prime GLS A/A AUTO,2750000,150.000 km,Automática,Bencina
2010 Hyundai Accent MC 1.4 GL PS AE AA,4900000,101.400 km,Manual,Bencina
2016 Renault Duster,9500000,43.500 km,Manual,Bencina
2002 Renault Mégane 2.0 RXE,3590000,199.000 km,Manual,Bencina
2006 Ford F-150 DC XLT 4x2,10000000,230.000 km,Automática,Bencina
2018 Citroën Berlingo 1.6 Manual HDI VU BVM5 AA 2AB Corto,12490000,80.000 km,Manual,Diesel
"2011 Suzuki Swift 1.3 GL LL, NB",5050000,192.030 km,Manual,Bencina
2018 Kia Morning 1.2 EX ABS,8000000,43.500 km,Manual,Bencina
2015 Nissan MARCH ACTIVE MT,7200000,117.004 km,Manual,Bencina
2014 Mercedes-Benz Sl 500 4.7 SL 500,43990000,50.653 km,Automática,Bencina
2011 Mazda 2 1.5 V,7000000,114.000 km,Manual,Bencina
